num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,hour,type_photo,type_status,type_video
529,512,262,432,92,3,1,1,0,6,0,0,1
227,236,57,204,21,1,1,0,0,6,0,0,1
503,614,72,418,70,10,2,0,3,0,0,0,1
295,453,53,260,32,1,1,0,1,7,0,0,1
170,9,1,167,3,0,0,0,0,4,1,0,0
210,2,3,202,7,1,0,0,0,1,1,0,0
313,4,2,305,6,2,0,0,0,5,1,0,0
332,100,30,303,23,1,5,0,0,5,0,0,1
135,256,79,117,18,0,0,0,0,8,0,0,1
150,173,47,132,16,1,0,1,0,8,0,0,1
221,166,36,192,28,0,1,0,0,7,0,0,1
234,15,1,221,12,1,0,0,0,8,1,0,0
227,7,1,217,7,2,1,0,0,7,1,0,0
75,36,14,70,5,0,0,0,0,8,0,0,1
90,78,9,85,5,0,0,0,0,7,0,0,1
253,300,31,229,22,1,1,0,0,7,0,0,1
128,137,26,110,16,2,0,0,0,9,0,0,1
84,15,13,78,5,1,0,0,0,8,1,0,0
66,11,6,61,4,1,0,0,0,1,1,0,0
171,292,28,150,19,1,1,0,0,8,0,0,1
90,72,23,79,10,1,0,0,0,10,0,0,1
139,39,9,121,16,1,1,0,0,0,0,0,1
236,181,21,201,33,0,1,0,1,0,0,0,1
225,210,34,193,30,0,2,0,0,7,0,0,1
372,456,37,334,31,1,1,1,4,4,0,0,1
128,60,11,114,13,0,0,0,1,8,0,0,1
186,235,46,163,19,0,3,0,1,1,0,0,1
309,444,36,254,42,2,8,3,0,3,0,0,1
77,11,3,75,2,0,0,0,0,5,1,0,0
119,72,28,103,16,0,0,0,0,7,0,0,1
100,21,13,95,5,0,0,0,0,1,1,0,0
240,255,111,193,44,1,1,0,1,9,0,0,1
164,136,48,146,15,2,0,1,0,8,0,0,1
202,327,42,171,30,1,0,0,0,8,0,0,1
211,284,46,186,25,0,0,0,0,9,0,0,1
148,114,16,136,10,0,2,0,0,3,0,0,1
97,81,16,84,13,0,0,0,0,8,0,0,1
279,292,34,254,20,3,1,1,0,9,0,0,1
177,193,34,151,25,1,0,0,0,6,0,0,1
517,32,1,484,26,7,0,0,0,7,1,0,0
289,258,33,256,33,0,0,0,0,5,0,0,1
206,259,48,181,22,1,2,0,0,8,0,0,1
362,468,86,305,56,0,0,1,0,8,0,0,1
184,130,51,161,23,0,0,0,0,9,0,0,1
216,251,34,199,16,0,0,0,1,9,0,0,1
272,258,43,226,44,1,1,0,0,9,0,0,1
248,247,34,208,33,3,2,0,2,23,0,0,1
132,89,40,110,20,1,0,0,1,9,0,0,1
226,341,41,196,30,0,0,0,0,9,0,0,1
219,316,36,170,46,3,0,0,0,8,0,0,1
94,1,1,94,0,0,0,0,0,5,0,0,1
259,368,50,234,25,0,0,0,0,9,0,0,1
127,76,21,114,13,0,0,0,0,22,0,0,1
149,63,15,134,15,0,0,0,0,0,0,0,1
134,171,41,116,18,0,0,0,0,9,0,0,1
392,461,47,360,32,0,0,0,0,9,0,0,1
