Major field of study,Apprentice_emp,Apprentice_unemp,Apprentice_med_inc,Cert_appren_qual_emp,Cert_appren_qual_unemp,Cert_appren_qual_med_inc,Trades_emp,Trades_unemp,Trades_med_inc,Col_cert_dip_emp,Col_cert_dip_unemp,Col_cert_dip_med_inc,Uni_cert_dip_emp,Uni_cert_dip_unemp,Uni_cert_dip_med_inc,Bachelor_emp,Bachelor_unemp,Bachelor_med_inc,Cert_dip_bach_emp,Cert_dip_bach_unemp,Cert_dip_bach_med_inc,Post_bachelor_emp,Post_bachelor_unemp,Post_bachelor_med_in
"  01. Agriculture, agriculture operations and related sciences",62.1,6.7,27865,60.3,7.3,31140,63.3,6.3,26040,69.8,5.2,32337,73.8,4.5,28301,67,3.9,36145,68.1,3.9,35055,70.6,4.2,38302
  03. Natural resources and conservation,56.6,10.3,38609,54.7,10.4,40011,57.5,10.6,37650,69.1,8.2,44690,72.9,5.4,35466,76.5,5.8,54243,76.9,5.4,58736,77.7,4.5,65019
  04. Architecture and related services,68.2,4.3,45984,46.2,0,61472,80,5.9,34566,70.4,6.4,43779,67.1,3.4,34960,68.4,6,41491,73.3,4.7,45375,77.1,3.8,59137
"  05. Area, ethnic, cultural, gender, and group studies",0,0,0,0,0,0,0,0,0,56.2,9.8,20909,57.8,16.1,24822,73.7,5.2,32952,72.5,4.8,67182,69.5,4.4,30863
"  09. Communication, journalism and related programs",28.6,0,0,0,0,0,75,0,0,74.2,5.5,39582,67.4,8,33561,79.5,4.9,37508,78.7,5.5,38182,75.9,7.7,59137
  10. Communications technologies/technicians and support services,48.9,6,31831,41.8,4,28844,58,7.8,35535,76.3,7.3,40337,77,7.5,38461,80.8,9.1,46993,81.8,8,45896,83.9,4.1,39504
  11. Computer and information sciences and support services,63.1,7.7,31793,59.8,8.8,27806,64.2,7,33843,76.6,5.3,47997,80.1,5.3,44219,82.3,4.9,59106,81.5,5,51638,79.7,5.4,74799
  12. Personal and culinary services,63.9,5.6,23400,64.8,4.9,25364,63.2,6.2,21997,69,7.3,24170,50,66.7,0,0,0,0,0,0,0,0,0,0
  13. Education,52.6,7.9,24727,51.2,4.4,26608,52.7,8.4,22626,54.6,4.4,27658,44.4,3.9,25009,59.9,2.9,40291,61.2,2.7,52261,62.6,2.5,68064
  14. Engineering,0,0,0,0,0,0,0,0,0,0,0,0,67.3,6.6,41868,70.5,5.9,54727,71.1,5.7,48425,72.5,5.2,74788
  15. Engineering technologies and engineering-related fields,54.3,9,45204,48.7,9.4,52702,58.5,8.8,42335,65.4,5.6,55322,0,0,0,0,0,0,55.6,0,0,83.3,0,0
"  16. Aboriginal and foreign languages, literatures and linguistics",63.6,0,14437,54.5,0,0,71.4,0,12094,56.7,6.3,27191,49.5,6,21119,56.6,6.2,24868,58.3,6.3,28089,61,6.5,44210
  19. Family and consumer sciences/human sciences,45.4,5.7,20335,37.8,9.3,15309,48.5,4.4,21985,69.9,4.7,26185,72.2,5.9,26446,65.4,5.8,34833,65.1,5.8,26783,63.6,5.7,60548
